Song Title,Lyrics
Figured You Out,"I like your pants around your feet
And I like the dirt that's on your knees
And I like the way you still say please
While you're looking up at me
You're like my favourite damn disease
And I love the places that we go
And I love the people that you know
And I love the way you can't say no
Too many long lines in a row
I love the powder on your nose
And now I know who you are
It wasn't that hard, just to figure you out
(Now I did, you wonder why)
And now I know who you are
It wasn't that hard, just to figure you out
(Now I did, you wonder why)
I like the freckles on your chest
And I like the way you like me best
And I like the way you're not impressed
While you put me to the test
I like the white stains on your dress
And I love the way you pass the check
And I love the good times that you wreck
And I love your lack of self-respect
While you're passed out on the deck
I love my hands around your neck
And now I know who you are
It wasn't that hard, just to figure you out
(Now I did, you wonder why)
And now I know who you are
It wasn't that hard, just to figure you out
(Now I did, you wonder why)
(Why not before? You never tried)
(Gone for good, and this is it)
I like your pants around your feet
And I like the dirt that's on your knees
And I like the way you still say please
While you're looking up at me
You're like my favorite damn disease
And I hate the places that we go
And I hate the people that you know
And I hate the way you can't say no
Too many long lines in a row
I hate the powder on your nose
And now I know who you are
It wasn't that hard, just to figure you out
(Now I did, you wonder why)
And now I know who you are
It wasn't that hard, just to figure you out
(Now I did, you wonder why)
(Why not before? You never tried)
(Gone for good, and this is it)"
Someday,"How the hell'd we wind up like this?
Why weren't we able to see the signs that we missed?
And try to turn the tables
I wish you'd unclench your fists and unpack your suitcase
Lately, there's been too much of this
But don't think it's too late
Nothing's wrong
Just as long
As you know that someday I will
Someday, somehow
I'm gonna make it all right, but not right now
I know you're wondering when
(You're the only one who knows that)
Someday, somehow
I'm gonna make it all right, but not right now
I know you're wondering when
Well, I'd hope that since we're here anyway
That we could end up saying
Things we've always needed to say
So we could end up staying
Now the story's played out like this
Just like a paperback novel
Let's rewrite an ending that fits
Instead of a Hollywood horror
Nothing's wrong
Just as long
As you know that someday I will
Someday, somehow
I'm gonna make it all right, but not right now
I know you're wondering when
(You're the only one who knows that)
Someday, somehow
I'm gonna make it all right, but not right now
I know you're wondering when
You're the only one who knows that
How the hell'd we wind up like this?
Why weren't we able to see the signs that we missed?
And try to turn the tables
Now the story's played out like this
Just like a paperback novel
Let's rewrite an ending that fits
Instead of a Hollywood horror
Nothing's wrong
Just as long
As you know that someday I will
Someday, somehow
I'm gonna make it all right, but not right now
I know you're wondering when
(You're the only one who knows that)
Someday, somehow
I'm gonna make it all right, but not right now
I know you're wondering when
(You're the only one who knows that)
I know you're wondering when
(You're the only one who knows that)
I know you're wondering when"
What Are You Waiting For?,"What are you waiting for?
What are you waiting for?
Are you waiting on a lightning strike?
Are you waiting for the perfect night?
Are you waiting till the time is right?
What are you waiting for?
Don't you wanna learn to deal with fear?
Don't you wanna take the wheel and steer?
Don't you wait another minute here
What are you waiting for?
What are you waiting for?
You gotta go and reach for the top
Believe in every dream that you've got
You're only livin' once so tell me
What are you, what are you waiting for?
You know you've got to give it your all
And don't you be afraid if you fall
You're only livin' once so tell me
What are you, what are you waiting for?
Are you waiting for the right excuse?
Are you waiting for a sign to choose?
While you're waiting, it's the time you lose
What are you waiting for? (What are you waiting for?)
Don't you want to spread your wings and fly?
Don't you really wanna live your life?
Don't you wanna love before you die?
What are you waiting for?
What are you waiting for?
You gotta go and reach for the top
Believe in every dream that you've got
You're only livin' once so tell me
What are you, what are you waiting for?
You know you've got to give it your all
And don't you be afraid if you fall
You're only livin' once so tell me
What are you, what are you waiting for?
Tell me what you're waiting for (Tell me what you're waiting for)
Show me what you're aiming for (Show me what you're aiming for)
Whatcha gonna save it for? (Whatcha gonna save it for?)
So whatcha really waiting for? (So whatcha really waiting for?)
Tell me what you're waiting for (Tell me what you're waiting for)
Show me what you're aiming for (Show me what you're aiming for)
Whatcha gonna save it for? (Whatcha gonna save it for?)
So whatcha really waiting for? (So whatcha really waiting for?)
Everybody's gonna make mistakes
But everybody's got a choice to make
Everybody needs a leap of faith
When are you taking yours?
What are you waiting for?
You gotta go and reach for the top
Believe in every dream that you've got
You're only livin' once so tell me
What are you, what are you waiting for?
You know you've got to give it your all
And don't you be afraid if you fall
You're only livin' once so tell me
What are you, what are you waiting for?
You gotta go and reach for the top
What are you waiting for?
Believe in every dream that you've got
What are you, what are you waiting for?
You know you've got to give it your all
What are you waiting for?
You're only livin' once so tell me
What are you, what are you waiting for?
What are you, what are you...
What are you, what are you waiting for?
What are you, what are you...
What are you, what are you waiting for?"
Something in Your Mouth,"Got to meet the hottie with the million dollar body
They say it’s over budget, but you'd pay her just to touch it, come on
Needs to hit the big screen and shoot a little love scene
If Hollywood had called her, she'd be gone before you hollered, come on
Dirty little lady with the pretty pink thong
Every sugar daddy hitting on her all night long
Doesn't care about the money, she could be with anybody
Ain't it funny how the honey wanted you all along
(You naughty thing)
You’re ripping up the dance floor, honey
(You naughty woman)
You shake your ass around for everyone
(You’re such a mover)
I love the way you dance with anybody
(The way you swing)
And tease them all by sucking on your thumb
You’re so much cooler when you never pull it out
'Cause you look so much cuter with something in your mouth
Crafty little lip tricks
Tattoos on her left hip
She bending as you’re spending
There’s no end to it, so baby, come on
Dressed up like a princess
Betting that her skin smells better
Than the scent of every flower in the desert, come on
Dirty little lady with the pretty pink thong
Every sugar daddy hitting on her all night long
Doesn't care about the money, she could be with anybody
Ain't it funny how the honey wanted you all along
(You naughty thing)
You’re ripping up the dance floor, honey
(You naughty woman)
You shake your ass around for everyone
(You’re such a mover)
I love the way you dance with anybody
(The way you swing)
And tease them all by sucking on your thumb
You’re so much cooler when you never pull it out
'Cause you look so much cuter with something in your mouth
She loves the night scene bar queen
Living for the fun taking over every dance floor like she's the only one
In the spotlight all night dissing everyone
And trying to look so innocent while sucking on her thumb
(You’re so much cooler) When you never pull it out
(So much cuter) With something in your mouth
(You naughty thing)
You’re ripping up the dance floor, honey
(You naughty woman)
You shake your ass around for everyone
I love the way you dance with anybody
(The way you swing)
And tease them all by sucking on your thumb
(You naughty thing)
You’re ripping up the dance floor, honey
(You naughty woman)
You shake that ass around for everyone
(You’re such a mover)
I love the way you dance with anybody
(The way you swing)
And tease them all by sucking on your thumb
You’re so much cooler when you never pull it out
'Cause you look so much cuter with something in your..."
When We Stand Together,"One more depending on a prayer
And we all look away
People pretending everywhere
It's just another day
There's bullets flying through the air
And they still carry on
We watch it happen over there
And then just turn it off
(Hey, yeah, yeah, hey, yeah)
We must stand together
(Hey, yeah, yeah, hey, yeah)
There's no giving in
(Hey, yeah, yeah, hey, yeah)
Hand in hand forever
(Hey, yeah, yeah, hey, yeah)
That's when we all win
(Hey, yeah, yeah, hey, yeah)
That's, that's, that's when we all win
That's, that's, that's when we all win
They tell us everything's alright
And we just go along
How can we fall asleep at night
When something's clearly wrong?
When we could feed a starving world
With what we throw away
But all we serve are empty words
That always taste the same
(Hey, yeah, yeah, hey, yeah)
We must stand together
(Hey, yeah, yeah, hey, yeah)
There's no giving in
(Hey, yeah, yeah, hey, yeah)
Hand in hand forever
(Hey, yeah, yeah, hey, yeah)
That's when we all win
(Hey, yeah, yeah, hey, yeah)
That's, that's, that's when we all win
(Hey, yeah, yeah, hey, yeah)
That's, that's, that's when we all win
The right thing to guide us
Is right here inside us
No one can divide us
When the light is nearly gone
But just like a heartbeat
The drumbeat carries on
And the drumbeat carries on
(Just like a heartbeat)
(Hey, yeah, yeah, hey, yeah)
We must stand together
(Hey, yeah, yeah, hey, yeah)
There's no giving in
(Hey, yeah, yeah, hey, yeah)
Hand in hand forever
(Hey, yeah, yeah, hey, yeah)
That's when we all win
(Hey, yeah, yeah, hey, yeah)
That's, that's, that's when we all win
That's, that's, that's when we all win"
If Everyone Cared,"From underneath the trees
We watch the sky
Confusing stars for satellites
I never dreamed that you'd be mine
But here we are, we're here tonight
Singing, Amen, I
I'm alive (I'm alive)
Singing Amen, I
I am alive
If everyone cared and nobody cried
If everyone loved and nobody lied
If everyone shared and swallowed their pride
Then we'd see the day, when nobody died
And I'm singing
Amen, I, Amen, I
I am alive
Amen, I, Amen, I, Amen, I
I am alive
And in the air, the fireflies
Our only light in paradise
We'll show the world they were wrong
And teach them all to sing along
Singing Amen, I
I'm alive (I'm alive)
Singing Amen, I
I am alive
If everyone cared and nobody cried
If everyone loved and nobody lied
If everyone shared and swallowed their pride
Then we'd see the day when nobody died
If everyone cared and nobody cried
If everyone loved and nobody lied
If everyone shared and swallowed their pride
Then we'd see the day when nobody died
When nobody died
And as we lie beneath the stars
We realize how small we are
If they could love like you and me
Imagine what the world could be
If everyone cared and nobody cried
If everyone loved and nobody lied
If everyone shared and swallowed their pride
Then we'd see the day when nobody died
If everyone cared and nobody cried
If everyone loved and nobody lied
If everyone shared and swallowed their pride
Then we'd see the day when nobody died
We'd see the day, we'd see the day
When nobody died
We'd see the day, we'd see the day
When nobody died
We'd see the day when nobody died (Died)"
Feed the Machine,"Addressing those beneath from high above
Convincing his belief for what you love
Baiting every hook with filthy lies
Another charlatan to idolize
Is this suppression just in my mind? (Just in my mind?)
No more questions, get back in line! (Just get back in line!)
You pay with your life
The duller the knife, the longer it takes (The longer it takes)
But now it's your turn
The ashes will burn, and wither away
Leaving your bones out on the stones, picking them clean (Picking them clean)
And carving the truth, while harvesting you to feed the machine (To feed the machine)
The gears forever turn to grind the mice
Will you become the fuel for sacrifice?
Power absolutely all for show
The piper blows his flute and off you go
Is this obsession behind your eyes? (Behind your eyes?)
No more questions, get back in line! (Just get back in line!)
You pay with your life
The duller the knife, the longer it takes (The longer it takes)
But now it's your turn
The ashes will burn, and wither away
Leaving your bones out on the stones, picking them clean (Picking them clean)
And carving the truth, while harvesting you to feed the machine (To feed the machine)
Why must the blind always lead the blind?
(Get back in line! Get back in line!)
Why do I feel like the fault is mine?
(Get back in line! Get back in line!)
Why must the weakest be sacrificed?
(Get back in line! Get back in line!)
No more questions, get back in line!
(Just get back in line!)
Pay with your life
The duller the knife, the longer it takes (The longer it takes)
But now it's your turn
The ashes will burn, and wither away (Wither away)
Leaving your bones out on the stones, picking them clean (Picking them clean)
And carving the truth, while harvesting you to feed the machine (To feed the machine)
To feed the machine"
Never Again,"He's drunk again, it's time to fight
She must have done something wrong tonight
The living room becomes a boxing ring
It's time to run when you see him
Clenching his hands
She's just a woman
Never again
I hear her scream, from down the hall
Amazing she can even talk at all
She cries to me ""Go back to bed""
I'm terrified that she'll wind up
Dead in his hands
She's just a woman
Never again
Been there before, but not like this
Seen it before, but not like this
Never before have I ever
Seen it this bad
She's just a woman
Never again
Just tell the nurse you slipped and fell
It starts to sting as it starts to swell
She looks at you, she wants the truth
It's right out there in the waiting room
With those hands
Looking just as sweet as he can
Never again
Seen it before, but not like this
Been there before, but not like this
Never before have I ever
Seen it this bad
She's just a woman
Never again
Never again
Father's a name you haven't earned yet
You're just a child with a temper
Haven't you heard ""Don't hit a lady""?
Kicking' your ass would be a pleasure
He's drunk again, it's time to fight
Same old shit, just on a different night
She grabs the gun, she's had enough
Tonight she'll find out how fucking
Tough is this man
Pulls the trigger as fast as she can
Never again
Seen it before, but not like this
Been there before, but not like this
Never before have I ever
Seen it this bad
She's just a woman
Never again
Seen it before, but not like this
Been there before, but not like this
Never before have I ever
Seen it this bad
She's just a woman
Never again
Never again
Never again
Never again"
Too Bad,"Fathers hands were lined with dirt
From long days in the field
And mothers hands are serving meals
In a café on Main Street
With mouths to feed
Just trying to keep clothing on our backs
And all I hear about
Is how it's so bad, it's so bad
It's too bad, it's stupid
Too late, so wrong, so long
It's too bad that we had no time to rewind
Let's walk, let's talk
(Let's talk)
You left without saying goodbye
Although I'm sure you tried
You call the house from time to time
To make sure we're alive
But you weren't there
Right when I needed you the most
And now I dream about it
And how it's so bad, it's so bad
It's too bad, it's stupid
Too late, so wrong, so long
It's too bad that we had no time to rewind
Let's walk, let's talk
Let's talk
It's too bad, it's stupid
Too late, so wrong, so long
It's too bad that we had no time to rewind
Let's walk, let's talk
Father's hands are lined with guilt
For tearing us apart
Guess it turned out in the end
Just look at where we are
We made it out
We still got clothing on our backs
And now I scream about it
And how it's so bad, it's so bad
It's too bad, it's stupid
Too late, so wrong, so long
It's too bad that we had no time to rewind
Let's walk, let's talk
It's too bad, it's stupid
Too late, so wrong, so long
It's too bad that we had no time to rewind
Let's walk, let's talk
Long time, let's walk, let's talk"
Home,"Lying awake, did it again for Christ's sake
Shoulda told her to go, and I know it
But she tasted like home
Yeah, she tasted like home
I did what I did, can't say ""hey man, I'm just a kid.""
Saw the lie in my eyes, couldn't hide it
Cause she tasted like home
Yeah, she tasted like home
Oh
Well, home ain't what I'd call it
When I'm the only ghost walkin' through the hallways
The pain gets so much clearer
When the one to blame is standing in the mirror
This fool, this liar
Lit a match and set his life on fire
I guess I'd rather be alone, in a house that's not a home
The pain in my heart's 'cause we're a thousand miles apart
I've got no one to blame for the shame
'Cause she's waiting back home
I hope she's waiting back home
Stupid to think that I could blame it on the drink
Now I'm trying to stall, making calls to someone back home
I hope there's someone back home
Oh
Well, home ain't what I'd call it
When I'm the only ghost walkin' through the hallways
The pain gets so much clearer
When the one to blame is standing in the mirror
This fool, this liar
Lit a match and set his life on fire
I guess I'd rather be alone, in a house that's not a home
I walk through the door and there's no light on anymore
Must have known all along I was wrong
Cause there's no one at home
No one's waiting back home
Well, home ain't what I'd call it
When I'm the only ghost walkin' through the hallways
The pain gets so much clearer
When the one to blame is standing in the mirror
This fool, this liar
Lit a match and set his life on fire
I guess I'd rather be alone, in a house that's not a home"
Song on Fire,"The first words that come out
And I can see this song will be about you
I can't believe that I can breathe without you
But all I need to do is carry on
The next line I write down
And there's a tear that falls between the pages
I know that pain's supposed to heal in stages
But it depends which one I'm standing on
I write lines down, then rip them up
Describing love can't be this tough
I could set this song on fire, send it up in smoke if
I could throw it in the river and watch it sinking slowly
Tie the pages to a plane and send it to the moon
Play it for the world, but it won't mean much
Unless I sing this song to you
I'm dying to show you
This could end happily ever after
There doesn't ever have to be disaster
And all you have to do is sing along
I write lines down, then rip them up
Impossible describing love
I could set this song on fire, send it up in smoke if
I could throw it in the river and watch it sinking slowly
Tie the pages to a plane and send it to the moon
Play it for the world, but it won't mean much
Unless I sing this song to you
I could set this song on fire
Sing this song to you
I could set this song on fire
Light this old guitar on fire, I'd still hear the notes
Drown the melody in water, I'd still hear its ghost
Sing it with somebody else, but we'd be out of tune
Play it for the world, but it won't mean much
I could set this song on fire, send it up in smoke if
I could throw it in the river and watch it sinking slowly
Tie the pages to a plane and send it to the moon
Play it for the world, but it won't mean much
Unless I sing this song to you
I could set this song on fire
Unless I sing this song to you
I could set this, I could set this
I wanna sing this song to you
I could set this song on fire
Sing this song to you
I could set this, I could set this"
Gotta Be Somebody,"This time, I wonder what it feels like
To find the one in this life
The one we all dream of
But dreams just aren't enough
So I'll be waiting for the real thing
I'll know it by the feeling
The moment when we're meeting
Will play out like a scene
Straight off the silver screen
So I'll be holding my breath
Right up 'til the end
Until that moment when
I find the one that I'll spend forever with
'Cause nobody wants to be the last one there
'Cause everyone wants to feel like someone cares
Someone to love with my life in their hands
There's gotta be somebody for me like that
'Cause nobody wants to do it on their own (Their own)
And everyone wants to know they're not alone (Not alone)
There's somebody else that feels the same somewhere (The same somewhere)
There's gotta be somebody for me out there
Tonight, out on the street, out in the moonlight
And dammit, this feels too right
It's just like déja vu, me standing here with you
So I'll be holding my breath
Could this be the end?
Is it that moment when
I find the one that I'll spend forever with?
'Cause nobody wants to be the last one there
'Cause everyone wants to feel like someone cares
Someone to love with my life in their hands
There's gotta be somebody for me like that
'Cause nobody wants to do it on their own (Their own)
And everyone wants to know they're not alone (Not alone)
There's somebody else that feels the same somewhere (The same somewhere)
There's gotta be somebody for me out there
Ooh, you can't give up (When you're looking for)
A diamond in the rough ('Cause you never know)
When it shows up (Make sure you're holding on)
'Cause it could be the one
The one you're waiting on
'Cause nobody wants to be the last one there
And everyone wants to feel like someone cares
Someone to love with my life in their hands
There's gotta be somebody for me, oh
Nobody wants to do it on their own (Their own)
And everyone wants to know they're not alone (Not alone)
There's somebody else that feels the same somewhere (The same somewhere)
There's gotta be somebody for me out there
Nobody wants to be the last one there (When you're looking for)
'Cause everyone wants to feel like someone cares ('Cause you never know)
There's somebody else that feels the same somewhere (Make sure you're holding on)
There's gotta be somebody for me out there"
S.E.X.,"""No"" is a dirty word, never gonna say it first
""No"" is just a thought that never crosses my mind
Maybe in the parking lot, better bring your friend along
Better off together than just one at a time
S is for the simple need
E is for the ecstasy
X is just to mark the spot
'Cause that's the one you really want
(Yes!) Sex is always the answer; it's never a question
'Cause the answer's yes, oh the answer's yes
Not just a suggestion if you ask the question
Then it's always yes, yeah!
I'm loving what you wanna wear, I wonder what's up under there?
Wonder if I'll ever have it under my tongue?
I'd love to try to set you free, all of you all over me
Love hearing the sound you make the second you're done
S is for the simple need
E is for the ecstasy
X is just to mark the spot
'Cause that's the one you really want
(Yes!) Sex is always the answer; it's never a question
Cause the answer's yes, oh the answer's yes
Not just a suggestion if you ask the question
Then it's always yes, yeah! (Yes)
Yeah, yeah, yeah
Yeah, yeah, yeah
Yeah, yeah, yeah
Yeah, yeah, yeah
S is for the simple need
E is for the ecstasy
X is just to mark the spot
'Cause that's the one you really want
(Yes!) Sex is always the answer; it's never a question
'Cause the answer's yes, oh the answer's yes
Not just a suggestion if you ask the question
Then it's always yes, yeah! (Yes)
(Yes!) Sex is always the answer it's never a question
'Cause the answer's yes, oh the answer's yes
Not just a suggestion if you ask the question
Then it's always yes, yeah! (Yes)
Yeah, yeah, yeah
Yeah, yeah, yeah
Yeah, yeah, yeah
Yeah, yeah, yeah
Yes!"
I’d Come for You,"Just one more moment, that's all that's needed
Like wounded soldiers in need of healing
Time to be honest, this time I'm pleading
Please don't dwell on it, 'cause I didn't mean it
I can’t believe I said I'd lay our love on the ground
But it doesn't matter 'cause I've made it up, forgive me now
Every day I spend away, my soul's inside out
Gotta be some way that I can make it up to you now, somehow
By now you'd know that I'd come for you
No one but you, yes, I'd come for you
But only if you told me to
And I'd fight for you
I'd lie, it's true
Give my life for you
You know I'd always come for you
I was blindfolded, but now I'm seeing
My mind was closing, now I'm believing
I finally know just what it means to let someone in
To see the side of me that no one does or ever will
So if you're ever lost and find yourself all alone
I'd search forever just to bring you home
Here and now, this I vow
By now you'd know that I'd come for you
No one but you, yes, I'd come for you
But only if you told me to
And I'd fight for you
I'd lie, it's true
Give my life for you
You know I'd always come for you
You know I'd always come for you
No matter what gets in my way
As long as there's still life in me
No matter what, remember you know I'll always come for you
Yes, I'd come for you, no one but you
Yes, I'd come for you
But only if you told me to
And I'd fight for you
I'd lie, it's true
Give my life for you
You know I'd always come for you
No matter what gets in my way
As long as there's still life in me
No matter what, remember you know I'll always come for you
I'd crawl across this world for you
Do anything you want me to
No matter what, remember you know I'll always come for you
You know I'll always come for you"
Must Be Nice,"One step, two step, electric slide
Red fish, blue fish, blow your mind
Engine, engine, number nine
Mama’s gonna let you set the moon on fire
Jack be nimble, jack be quick
Jack wound up with a broken neck
Humpty Dumpty, do your thing
Daddy’s gonna buy you a diamond ring
Oh, it must be nice
To spend each day in paradise
You wonder why you’ve never failed
Your life’s a goddamn fairy tale
Your life’s a goddamn fairy tale
Suzie steamboat, you’re so fine
Grant the wish I wish tonight
Tinker tailor, whatcha' got?
Wheels on the bus are falling off
Pretty maids all in a row
Yes, sir, yes, sir three bags full
Silver spoon at supper time
Four and twenty blackbirds, oh, so high
Oh, it must be nice
To spend each day in paradise
You wonder why you’ve never failed
Your life’s a goddamn fairy tale
Your life’s a goddamn fairy tale
One step, two step, electric slide
Red fish, blue fish, blow your mind
Engine, engine, number nine
Stick your diamond ring where the sun don’t shine
Oh, it must be nice
To spend each day in paradise
You wonder why you’ve never failed
Your life’s a goddamn fairy tale
Oh, it must be nice
To spend each day in paradise
You wonder why you’ve never failed
Your life’s a fucking fairy tale"
Never Gonna Be Alone,"Time is going by so much faster than I
And I'm starting to regret not spending all of it with you
Now I'm wondering why I've kept this bottled inside
So I'm starting to regret not telling all of it to you
So if I haven't yet, I've gotta let you know
You're never gonna be alone
From this moment on
If you ever feel like letting go
I won't let you fall
You're never gonna be alone
I'll hold you 'til the hurt is gone
And now as long as I can, I'm holding on with both hands
'Cause forever I believe that there's nothing I could need but you
So if I haven't yet, I've gotta let you know
You're never gonna be alone
From this moment on
If you ever feel like letting go
I won't let you fall
When all hope is gone, I know that you can carry on
We’re gonna take the world on
I'll hold you 'til the hurt is gone
Oh!
You've gotta live every single day
Like it's the only one, what if tomorrow never comes?
Don't let it slip away
Could be our only one, you know it's only just begun
Every single day
Maybe our only one, what if tomorrow never comes?
Tomorrow never comes
Time is going by so much faster than I
And I'm starting to regret not telling all of this to you
You're never gonna be alone
From this moment on
If you ever feel like letting go
I won't let you fall
When all hope is gone, I know that you can carry on
We’re gonna take the world on
I'll hold you 'til the hurt is gone
I'm gonna be there always
I won't be missing one more day
I'm gonna be there always
I won't be missing one more day"
This Afternoon,"{Inaudible Chatter}
Ohh!
Lookin' like another Bob Marley day
Hittin' from the bong like a diesel train
And I'm down with hangin' out this afternoon
We got weeds in the backyard four feet tall
Cheech and Chong probably woulda' smoked them all
So I'm out on the couch this afternoon
Beer bottles layin' on the kitchen floor
If we take 'em all back, we can buy some more
So I doubt we'll go without this afternoon
Ohh!
You better hang on if you're taggin' along
'Cause we'll be doin' this 'till six in the mornin'
Nothin' wrong with goin' all night long
Tough to put the brakes on
Doesn't matter when you'd rather
Get up, and go out
Me and all my friends
We drink up, we fall down
And then we do it all again
Just sittin' around, hangin' out this afternoon
Landlord says I should buy a tent
But he can kiss my ass 'cause I paid the rent
So I doubt he'll kick me out this afternoon
Down on the corner in a seedy bar
Juke box crankin' out the CCR
Had a few to Suzy Q this afternoon
Ohh!
You better hang on if you're taggin' along
'Cause we'll be doin' this 'till six in the mornin'
Nothin' wrong with goin' all night long
Tough to put the brakes on
Doesn't matter when you'd rather
Get up, and go out
Me and all my friends
We drink up, we fall down
And then we do it all again
Yeah, we get up, and go out
Me and all my friends
We drink up, we fall down
And then we do it all again
Yeah, just sittin' around, hangin' out this afternoon
Don't want a wristwatch or an alarm clock
To see what time it is
From the moment I wake up
I just love being with my friends
We barely get by, but have the best times
And hope it never ends
We drink all day till we fall down
So we can do it all again
It's not the human walk
It's the human race
If you ain't livin' on the edge
You're takin' too much space
So I doubt I'll figure out just what to do
'Bout to kick it around
Hanging out this afternoon
Ohh!
You better hang on if you're taggin' along
'Cause we'll be doin' this 'till six in the mornin'
Nothin' wrong with goin' all night long
Tough to put the brakes on
Doesn't matter when you'd rather
Get up, and go out
Me and all my friends
We drink up, we fall down
And then we do it all again
Yeah, we get up, and go out
Me and all my friends
We drink up, we fall down
And then we do it all again
Just kickin' around, hangin' out this afternoon
{Laughter}
Sittin' around, hangin' out this afternoon
(Last call, you sons of bitches!)
Just kickin' around, hangin' out this afternoon
Yeah, just sittin' around, hangin' out this afternoon
(Drinks on the house!)
Just kickin' around, hangin' out this afternoon
Just sittin' around, hangin' out this afternoon"
Trying Not to Love You,"You call to me, and I fall at your feet
How could anyone ask for more?
(How could anyone ask for more?)
And our time apart, like knives in my heart
How could anyone ask for more?
(How could anyone ask for more?)
But if there's a pill to help me forget
God knows I haven't found it yet
But I'm dying to, God I'm trying to
'Cause trying not to love you, only goes so far
And trying not to need you, is tearing me apart
Can't see the silver lining, from down here on the floor
And I just keep on trying, but I don't know what for
'Cause trying not to love you
Only makes me love you more
Only makes me love you more
And this kind of pain, only time takes away
That's why it's harder to let you go (That's why it's harder to let you go)
And nothing I can do, without thinking of you
That's why it's harder to let you go (That's why it's harder to let you go)
But if there's a pill to help me forget
God knows I haven't found it yet
But I'm dying to, God I'm trying to
'Cause trying not to love you, only goes so far
Trying not to need you, is tearing me apart
Can't see the silver lining, from down here on the floor
And I just keep on trying, but I don't know what for
'Cause trying not to love you
Only makes me love you more
So I sit here divided, just talking to myself
Was it something that I did? Was there somebody else?
When a voice from behind me, that was fighting back tears
Sat right down beside me, whispered right in my ear
Said, I've been dying to tell you
Trying not to love you, only went so far
Trying not to need you, was tearing me apart
Now I see the silver lining, from what we're fighting for
We just keep on trying, we could be much more
'Cause trying not to love you
Oh, yeah, trying not to love you
Only makes me love you more
Only makes me love you more"
San Quentin,"Let's get this circus on down the road
We're takin' bets how far a tank of gas will go
Call up your best friend, then call two more
About to do some shit that you ain't seen before
There ain't no backdoor, there ain't no sign
Location changes almost every other night
Last time we found it, can't remember much
I thought I was a God until my lawyer woke me up and said
I testify that I was right out of my mind
Let the record show I did it all for rock and roll
Screamin' every night, playing 25 to Life
So somebody please keep me the hell out of San Quentin
Out of San Quentin
Just keep me out of San Quentin
Ooh, can somebody please keep me the hell out of San Quentin?
Got out on bail, we hit the town
Somebody told me we should burn it to the ground
Too many favors, too much to drink
Come 6 AM, they had me back inside the clink
I'm gonna testify that I was right out of my mind
Let the record show I did it all for rock and roll
Screamin' every night, playing 25 to Life
So can somebody please keep me the hell out of San Quentin?
Out of San Quentin
Oh, just keep me out of San Quentin
Ooh, can somebody please keep me the hell out of San Quentin?
Tough to find, a goddamn alibi
Wrong or right, it's tough to justify
Can't dismiss, too many witnesses
When insanity's the pattern, it don't matter what it is
I'm gonna testify that I was right out of my mind
Let the record show I did it all for rock and roll
Screamin' every night, playing 25 to Life
So somebody please keep me the hell out of San Quentin
Out of San Quentin
Oh, just keep me out of San Quentin
Ooh, can somebody please keep me the hell out of San Quentin?"
After the Rain,"All your life, scramble and scurry
Take your time, rather than hurry
Never too late to write the best of your story
Remember to breathe or else you're gonna be sorry
Life's no race, it's a companion
Always face with reckless abandon
The ticket to life as my mother once told me
Stick with your pride and you're gonna be lonely (gonna be lonely)
Everybody says that life takes patience
But nobody wants to wait
Everybody says we need salvation
But nobody wants to be saved
The light in the tunnel is just another runaway train
The blue skies we wait on
Are gonna have to come after the rain
Spend your days happy and grateful
Avoid the taste of wanting and wasteful
Every good thing will come in moderation
Envy and greed will only lead to frustration
Choose your friends, carefree and kindly
Choose your words, careful and wisely
Always be there to lend a comforting shoulder
One will be there to share a day when you're older (a day when you're older)
Everybody says that life takes patience
But nobody wants to wait
Everybody says we need salvation
But nobody wants to be saved
The light in the tunnel is just another runaway train
The blue skies we wait on
Are gonna have to come after the rain
All mistakes, committed upon us
Always take a toll on the conscience
Every regret is a debt that you live with
Never forget to remember forgiveness
Everybody says that life takes patience
But nobody wants to wait
Everybody says we need salvation
But nobody wants to be saved
The light in the tunnel is just another runaway train
The blue skies we wait on
Are gonna have to come after the rain (ra-ai-ai-ain)
Gonna have to come after the rain (ra-ai-ai-ain)
Gonna have to come after the rain (ra-ai-ai-ain)
Gonna have to come after the rain (ra-ai-ai-ain)
Rain, yeah
Ra-ai-ai-ain
Gonna have to come after the rain"
